"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"Andrews.mtx.hgr","SPM",16,27632,28216.1,0.01917333333334,1.4433
"Andrews.mtx.hgr","SPM",32,42380,43017.3,0.01893333333333,1.7697
"Andrews.mtx.hgr","SPM",64,63607,63971.8,0.01577825159916,2.0729
"Andrews.mtx.hgr","SPM",128,89955,90298.8,0.01407249466951,2.3828
"appu.mtx.hgr","SPM",2,13995,13996.8,0,2.9163
"appu.mtx.hgr","SPM",4,41964,41968.9,0,4.6077
"appu.mtx.hgr","SPM",8,97441,97469.4,0.0001142857142858,5.7681
"appu.mtx.hgr","SPM",16,205078,205175.7,0.00662857142857,6.6477
"appu.mtx.hgr","SPM",32,401311,401503.2,0.008904109589037,7.6141
"as-22july06.mtx.hgr","SPM",2,944,994.9,0,0.0917
"as-22july06.mtx.hgr","SPM",4,2176,2457.8,0,0.1905
"as-22july06.mtx.hgr","SPM",8,2979,3215.9,0.005015673981191,0.2707
"as-22july06.mtx.hgr","SPM",16,4909,5238.1,0.007660167130921,0.3313
"as-22july06.mtx.hgr","SPM",32,6875,7370.4,0.011420612813354,0.3794
"as-22july06.mtx.hgr","SPM",64,9322,9637.6,0.01309192200556,0.4165
"as-22july06.mtx.hgr","SPM",128,12406,12605.5,0.011111111111106,0.4561
"as-caida.mtx.hgr","SPM",2,621,694.2,0,0.1089
"as-caida.mtx.hgr","SPM",4,1893,2153.2,0,0.2117
"as-caida.mtx.hgr","SPM",8,3103,3310.4,5.0981391792e-05,0.317
"as-caida.mtx.hgr","SPM",16,4722,5088.4,0.005759429153927,0.3934
"as-caida.mtx.hgr","SPM",32,6891,7487.9,0.009276248725812,0.4583
"as-caida.mtx.hgr","SPM",64,9324,9729,0.00977596741344,0.5042
"as-caida.mtx.hgr","SPM",128,12575,12942.7,0.012195121951201,0.556
"astro-ph.mtx.hgr","SPM",2,3635,3724.3,1.19717466778e-05,0.1086
"astro-ph.mtx.hgr","SPM",4,7609,7857.4,0.000694278190088,0.1981
"astro-ph.mtx.hgr","SPM",8,12730,13014.5,0.0028243178554338,0.2728
"astro-ph.mtx.hgr","SPM",16,18412,18730.3,0.0038277511961733,0.3377
"astro-ph.mtx.hgr","SPM",32,24484,24599.4,0.00286806883365,0.4045
"astro-ph.mtx.hgr","SPM",64,30040,30570.8,0.003435114503817,0.4638
"astro-ph.mtx.hgr","SPM",128,36571,36918.2,0.004580152671756,0.528
"atmosmodj.mtx.hgr","SPM",2,17168,17189.8,0,2.984
"atmosmodj.mtx.hgr","SPM",4,33925,34252,0,5.1162
"atmosmodj.mtx.hgr","SPM",8,60943,65401.8,0,7.2117
"atmosmodj.mtx.hgr","SPM",16,100988,101996.4,3.77824236165e-06,9.0938
"atmosmodj.mtx.hgr","SPM",32,142477,143445.7,1.007531296436e-05,10.9791
"atmosmodj.mtx.hgr","SPM",64,196632,201797.5,0.00014608835826896,13.0096
"atmosmodj.mtx.hgr","SPM",128,262485,267941.1,0.002851098126134,15.0527
"av41092.mtx.hgr","SPM",2,636,743.8,0.004599435413212,0.9918
"av41092.mtx.hgr","SPM",4,1626,1840.6,0.00698919497711979,2.4234
"av41092.mtx.hgr","SPM",8,4420,4813,0.004808253844656,3.9372
"av41092.mtx.hgr","SPM",16,8302,8611.4,0.005683145192677,4.9902
"av41092.mtx.hgr","SPM",32,13256,13818.4,0.005836575875486,5.8109
"av41092.mtx.hgr","SPM",64,20208,20499.6,0.004976671850699,6.584
"av41092.mtx.hgr","SPM",128,29206,29752,0.004037267080744,7.1873
"barrier2-1.mtx.hgr","SPM",2,7366,7473.6,0.009729739290377,0.9309
"barrier2-1.mtx.hgr","SPM",4,13717,14497.5,0.0037001662598535,1.7267
"barrier2-1.mtx.hgr","SPM",8,22705,23769,0.006918995401491,2.5259
"barrier2-1.mtx.hgr","SPM",16,33909,34878.1,0.00691850594228,3.2974
"barrier2-1.mtx.hgr","SPM",32,48575,49757.6,0.006762874929258,4.0536
"barrier2-1.mtx.hgr","SPM",64,67984,68685.8,0.00684776457272,4.8159
"barrier2-1.mtx.hgr","SPM",128,94378,94810.6,0.007239819004528,5.5404
"Baumann.mtx.hgr","SPM",2,2222,2225.4,0,0.201
"Baumann.mtx.hgr","SPM",4,4384,4442.2,0,0.3427
"Baumann.mtx.hgr","SPM",8,7707,8340.9,0,0.4932
"Baumann.mtx.hgr","SPM",16,12790,13159.2,0,0.6674
"Baumann.mtx.hgr","SPM",32,19576,20445.6,0.0025377815796986,0.8652
"Baumann.mtx.hgr","SPM",64,28890,29711.3,0.003876852907638,1.0846
"Baumann.mtx.hgr","SPM",128,42392,42850.6,0.00456100342075,1.3451
"bayer04.mtx.hgr","SPM",2,54,70.7,0.0143774944027931,0.0258
"bayer04.mtx.hgr","SPM",4,176,196.1,0.0071247810005928,0.0481
"bayer04.mtx.hgr","SPM",8,325,400.1,0.007824056052937,0.0722
"bayer04.mtx.hgr","SPM",16,679,742.4,0.01058365758755,0.1047
"bayer04.mtx.hgr","SPM",32,1215,1438.8,0.011353032659396,0.1419
"bayer04.mtx.hgr","SPM",64,3006,3135.9,0.01118012422357,0.1884
"bayer04.mtx.hgr","SPM",128,5843,5941.4,0.009937888198728,0.232
"bbmat.mtx.hgr","SPM",2,1140,1212,0,0.5174
"bbmat.mtx.hgr","SPM",4,2996,3303.4,1.03241792277e-05,1.0273
"bbmat.mtx.hgr","SPM",8,6166,6421.8,0.0049556060293215,1.5246
"bbmat.mtx.hgr","SPM",16,10313,11162.8,0.005697770437653,2.0223
"bbmat.mtx.hgr","SPM",32,17929,18467.6,0.00611065235343,2.5342
"bbmat.mtx.hgr","SPM",64,31852,32393.7,0.005445544554454,3.0482
"bbmat.mtx.hgr","SPM",128,53422,53983.8,0.008250825082508,3.5486
"bcsstk29.mtx.hgr","SPM",2,372,387,0.0104631217838805,0.1185
"bcsstk29.mtx.hgr","SPM",4,1146,1233.6,0.009605488850782,0.2263
"bcsstk29.mtx.hgr","SPM",8,2616,2744.7,0.009548313321901,0.3369
"bcsstk29.mtx.hgr","SPM",16,4452,4563.1,0.01314285714284,0.4437
"bcsstk29.mtx.hgr","SPM",32,7208,7309.5,0.01187214611876,0.5521
"bcsstk29.mtx.hgr","SPM",64,10937,11257.6,0.012328767123298,0.6632
"bcsstk29.mtx.hgr","SPM",128,17309,17477.2,0.008181818181819,0.7615
"BenElechi1.mtx.hgr","SPM",2,1368,1412.4,8.1342476228e-07,2.486
"BenElechi1.mtx.hgr","SPM",4,3642,3945.9,0.00011225170411102,4.8817
"BenElechi1.mtx.hgr","SPM",8,9222,9448.6,9.76085895559e-05,7.2522
"BenElechi1.mtx.hgr","SPM",16,15750,16153.2,0.00033185840708,9.6004
"BenElechi1.mtx.hgr","SPM",32,25362,26036.2,0.0013534617386784,11.9307
"BenElechi1.mtx.hgr","SPM",64,40024,40867.1,0.002524726704843,14.2495
"BenElechi1.mtx.hgr","SPM",128,60965,61639.5,0.003487766788132,16.555
"bibd_49_3.mtx.hgr","SPM",2,759,786.3,0,0.0456
"bibd_49_3.mtx.hgr","SPM",4,1580,1696.1,0,0.0757
"bibd_49_3.mtx.hgr","SPM",8,3179,3336.8,4.34216239687e-05,0.097
"bibd_49_3.mtx.hgr","SPM",16,4925,5284.1,0.0002604166666668,0.1228
