"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"Andrews.mtx.hgr","SPM",16,27082,27540.6,0.03341333333335,73.484
"Andrews.mtx.hgr","SPM",32,41760,42124.4,0.05733333333334,117.7116
"Andrews.mtx.hgr","SPM",64,61919,62230.9,0.0680170575693,190.9614
"Andrews.mtx.hgr","SPM",128,86516,87152.6,0.09083155650317,278.8485
"appu.mtx.hgr","SPM",2,13949,13953.9,0.03,33.8233
"appu.mtx.hgr","SPM",4,41848,41854.1,0.03214285714286,996.8098
"appu.mtx.hgr","SPM",8,97040,97082.4,0.04885714285714,1624.6093
"appu.mtx.hgr","SPM",16,204310,204368.6,0.06102857142856,1949.0708
"appu.mtx.hgr","SPM",32,390296,391306.2,0.07831050228311,6716.6926
"as-22july06.mtx.hgr","SPM",2,340,370.2,0.0298728444522,3.4706
"as-22july06.mtx.hgr","SPM",4,2177,2340.5,0.0297857516112,8.9299
"as-22july06.mtx.hgr","SPM",8,3726,3780.5,0.0296064089168,14.2933
"as-22july06.mtx.hgr","SPM",16,5361,5566,0.0292479108635,21.6694
"as-22july06.mtx.hgr","SPM",32,7256,7335,0.02994428969358,36.072
"as-22july06.mtx.hgr","SPM",64,9031,9103.1,0.06713091922006,76.9172
"as-22july06.mtx.hgr","SPM",128,11411,11482.7,0.05833333333333,194.3497
"as-caida.mtx.hgr","SPM",2,321,325,0.01198215423836,3.49205
"as-caida.mtx.hgr","SPM",4,2174,2251.2,0,10.23135
"as-caida.mtx.hgr","SPM",8,4456,4533.5,0,16.11505
"as-caida.mtx.hgr","SPM",16,6315,6371.6,0,24.1308
"as-caida.mtx.hgr","SPM",32,8077,8127.9,0,39.29655
"as-caida.mtx.hgr","SPM",64,9888,9971,0,82.9073
"as-caida.mtx.hgr","SPM",128,12341,12372.4,0,204.14115
"astro-ph.mtx.hgr","SPM",2,4038,4110.9,0,6.9702
"astro-ph.mtx.hgr","SPM",4,8271,8459,0,12.0035
"astro-ph.mtx.hgr","SPM",8,13262,13481.4,0,20.2445
"astro-ph.mtx.hgr","SPM",16,18294,18554.2,0,32.494
"astro-ph.mtx.hgr","SPM",32,23610,23850.4,0,50.2539
"astro-ph.mtx.hgr","SPM",64,29206,29437.5,0.01221374045802,73.9702
"astro-ph.mtx.hgr","SPM",128,34967,35180.9,0.01832061068702,101.2202
"atmosmodj.mtx.hgr","SPM",2,17168,17168,0.014082138988932,351.8946
"atmosmodj.mtx.hgr","SPM",4,32392,32744.4,0.001184478980378,591.4633
"atmosmodj.mtx.hgr","SPM",8,58645,59249.8,0.0047914410216315,606.2746
"atmosmodj.mtx.hgr","SPM",16,91130,92972.1,0.0014218785421018,624.5169
"atmosmodj.mtx.hgr","SPM",32,127481,128303.9,0.00294199138560799,658.0083
"atmosmodj.mtx.hgr","SPM",64,174581,175447.4,0.005097979950637,725.0922
"atmosmodj.mtx.hgr","SPM",128,232859,234004.1,0.009601047753376,846.5479
"av41092.mtx.hgr","SPM",2,632,645.2,0.0021172004283037,7.6732
"av41092.mtx.hgr","SPM",4,1594,1616.4,0.02747006716636,9.4041
"av41092.mtx.hgr","SPM",8,4172,4310.4,0.02886898968269,13.79525
"av41092.mtx.hgr","SPM",16,7618,7860.2,0.0322304398599,21.20965
"av41092.mtx.hgr","SPM",32,13704,13966.4,0.03252918287939,38.37335
"av41092.mtx.hgr","SPM",64,23000,23300.4,0.04432348367029,82.68415
"av41092.mtx.hgr","SPM",128,35238,36465.4,0.05403726708074,172.2911
"barrier2-1.mtx.hgr","SPM",2,7188,7300.3,0.019112809084155,46.5667
"barrier2-1.mtx.hgr","SPM",4,13542,13707.8,0.02516537549966,51.6799
"barrier2-1.mtx.hgr","SPM",8,21067,21286.1,0.02920410328968,56.2876
"barrier2-1.mtx.hgr","SPM",16,32962,33175.8,0.0298528579513,65.0267
"barrier2-1.mtx.hgr","SPM",32,46559,47184.6,0.0297113752122,82.8919
"barrier2-1.mtx.hgr","SPM",64,65542,66098.6,0.029428409734,115.6853
"barrier2-1.mtx.hgr","SPM",128,91897,92271.7,0.0349547511312,172.5815
"Baumann.mtx.hgr","SPM",2,2222,2222,0.0061775924143519,14.2068
"Baumann.mtx.hgr","SPM",4,4188,4219.8,0.0058674651552355,22.4196
"Baumann.mtx.hgr","SPM",8,7538,7679.4,0.00971697440649957,25.8761
"Baumann.mtx.hgr","SPM",16,11983,12176,0.010236669518109,32.7258
"Baumann.mtx.hgr","SPM",32,18525,18730.2,0.0194753350442,47.0605
"Baumann.mtx.hgr","SPM",64,27360,27533.7,0.02833523375142,75.9831
"Baumann.mtx.hgr","SPM",128,39783,40075.1,0.0285062713797,133.0034
"bayer04.mtx.hgr","SPM",2,55,60.4,0.016119926019658,1.2038
"bayer04.mtx.hgr","SPM",4,155,162.2,0.0142495620011714,1.3686
"bayer04.mtx.hgr","SPM",8,314,327.4,0.01895679252625,1.9293
"bayer04.mtx.hgr","SPM",16,556,583.7,0.02817120622569,3.4636
"bayer04.mtx.hgr","SPM",32,1077,1103.9,0.03763608087091,6.8682
"bayer04.mtx.hgr","SPM",64,2370,2401.1,0.06055900621118,17.6932
"bayer04.mtx.hgr","SPM",128,4714,4757.4,0.07142857142859,27.1416
"bbmat.mtx.hgr","SPM",2,1140,1140,0.0059105926078855,11.7179
"bbmat.mtx.hgr","SPM",4,2996,2996,0.012523229403254,12.8156
"bbmat.mtx.hgr","SPM",8,6312,6529.8,0.021742721453648,20.1216
"bbmat.mtx.hgr","SPM",16,10949,11284.5,0.02902559867879,32.2585
"bbmat.mtx.hgr","SPM",32,17612,18176.5,0.0297274979356,55.8346
"bbmat.mtx.hgr","SPM",64,31828,32143.9,0.05000000000001,105.8873
"bbmat.mtx.hgr","SPM",128,52999,53270.3,0.08118811881187,184.7571
"bcsstk29.mtx.hgr","SPM",2,360,363.6,0.002658662092628,2.7101
"bcsstk29.mtx.hgr","SPM",4,1092,1104,0.012864493996574,3.3368
"bcsstk29.mtx.hgr","SPM",8,2418,2484,0.015437392795903,4.5271
"bcsstk29.mtx.hgr","SPM",16,4325,4386.9,0.0230857142857,7.6115
"bcsstk29.mtx.hgr","SPM",32,6654,6700.8,0.03173515981738,14.4774
"bcsstk29.mtx.hgr","SPM",64,9802,9913.5,0.04474885844752,29.1637
"bcsstk29.mtx.hgr","SPM",128,15865,15957.5,0.04909090909091,38.0748
"BenElechi1.mtx.hgr","SPM",2,65942,69231.9,0.005891635553167,709.01085
"BenElechi1.mtx.hgr","SPM",4,111558,136401.1,0.0299825928517,767.73705
"BenElechi1.mtx.hgr","SPM",8,105280,132327.3,0.0299658369937,824.8075
"BenElechi1.mtx.hgr","SPM",16,108900,132361.2,0.0299323269131,876.4843
"BenElechi1.mtx.hgr","SPM",32,126124,142555.7,0.0299323269131,928.63145
"BenElechi1.mtx.hgr","SPM",64,132936,151554.5,0.0299323269131,982.1466
"BenElechi1.mtx.hgr","SPM",128,154656,167440.5,0.0296720458095,1042.84445
"bibd_49_3.mtx.hgr","SPM",2,774,813.1,0.02530395136776,41.8146
"bibd_49_3.mtx.hgr","SPM",4,1678,1825.5,0.0299609205384,50.6118
"bibd_49_3.mtx.hgr","SPM",8,2859,2930.6,0.0299609205384,59.138
"bibd_49_3.mtx.hgr","SPM",16,4235,4401.4,0.0295138888889,81.2602
"bibd_49_3.mtx.hgr","SPM",32,5803,6026.9,0.02864583333334,103.9605
"bibd_49_3.mtx.hgr","SPM",64,7612,7651.7,0.0277777777778,128.7539
"bibd_49_3.mtx.hgr","SPM",128,9738,9805.4,0.0277777777778,164.8824
"bips07_1998.mtx.hgr","SPM",2,58,59.9,0.0001725740076996,0.3891
"bips07_1998.mtx.hgr","SPM",4,120,122.1,0.0007963897000264,0.5393
"bips07_1998.mtx.hgr","SPM",8,242,249.2,0.0014331210191082,0.9149
"bips07_1998.mtx.hgr","SPM",16,420,425.3,0.002760084925693,1.9168
"bips07_1998.mtx.hgr","SPM",32,664,682.9,0.008067940552022,3.8279
"bips07_1998.mtx.hgr","SPM",64,1040,1055.5,0.0233050847458,7.9117
"bips07_1998.mtx.hgr","SPM",128,1620,1646.3,0.02711864406783,12.4331
"bloweya.mtx.hgr","SPM",2,4864,4875,0.0299693374217,0.9126
"bloweya.mtx.hgr","SPM",4,7434,7445,0.03910145313958,1.0272
"bloweya.mtx.hgr","SPM",8,8735,8743.9,0.05921087709944,1.349
"bloweya.mtx.hgr","SPM",16,9425,9431.1,0.07947761194032,2.015
"bloweya.mtx.hgr","SPM",32,9812,9814.4,0.09594882729207,4.2041
"bloweya.mtx.hgr","SPM",64,10139,10140.7,0.1189765458426,9.1837
"bloweya.mtx.hgr","SPM",128,10553,10559.9,0.1289361702127,19.8622
"bundle1.mtx.hgr","SPM",2,1253,1276.4,0.0254772254772,3.4347
"bundle1.mtx.hgr","SPM",4,3490,3523.6,0.02815570672714,5.6798
"bundle1.mtx.hgr","SPM",8,7453,7496.1,0.0294784580499,9.8582
"bundle1.mtx.hgr","SPM",16,11955,12722.7,0.06873111782477,13.3901
"bundle1.mtx.hgr","SPM",32,15351,15975.9,0.08640483383687,15.7708
"bundle1.mtx.hgr","SPM",64,19663,20087.6,0.10000000000004,28.7965
"bundle1.mtx.hgr","SPM",128,25139,25568,0.08313253012054,55.8264
"c-55.mtx.hgr","SPM",2,3654,3708.3,0.027144600366067,8.8756
"c-55.mtx.hgr","SPM",4,6895,7140.4,0.02763880414887,11.9411
"c-55.mtx.hgr","SPM",8,12365,12642.5,0.02969741337235,17.6413
"c-55.mtx.hgr","SPM",16,18069,18283.2,0.0297706198145,24.7995
"c-55.mtx.hgr","SPM",32,23741,24095.3,0.0351219512195,37.6263
"c-55.mtx.hgr","SPM",64,29916,30258.1,0.06842105263158,62.6001
"c-55.mtx.hgr","SPM",128,37477,37772.7,0.08638132295715,88.7783
"c-61.mtx.hgr","SPM",2,2188,2205.8,0.02940987665641,5.24335
"c-61.mtx.hgr","SPM",4,3751,3852.3,0.02956441999084,6.7846
"c-61.mtx.hgr","SPM",8,5558,5666,0.0309187603154,9.0765
"c-61.mtx.hgr","SPM",16,7154,7229.5,0.03597359735972,12.4223
"c-61.mtx.hgr","SPM",32,9366,9489.8,0.05571847507331,22.16435
"c-61.mtx.hgr","SPM",64,12379,12441.1,0.07067448680351,37.8009
"c-61.mtx.hgr","SPM",128,16014,16105.6,0.11055718475082,63.25865
"c-64.mtx.hgr","SPM",2,1392,1401.7,0.02996316325732,7.1022
"c-64.mtx.hgr","SPM",4,10004,12014.2,0.0299396504428,11.8554
"c-64.mtx.hgr","SPM",8,18070,21093.2,0.02985893416926,16.717
"c-64.mtx.hgr","SPM",16,26016,30136,0.04313479623823,25.7215
"c-64.mtx.hgr","SPM",32,34622,37988.7,0.0576802507837,43.2914
"c-64.mtx.hgr","SPM",64,41223,45016.9,0.10125313283215,69.6641
"c-64.mtx.hgr","SPM",128,52663,54156.9,0.12105263157911,120.6606
"ca-CondMat.mtx.hgr","SPM",2,4396,4437.9,4.32264199879e-05,7.6652
"ca-CondMat.mtx.hgr","SPM",4,9156,9263.8,6.91562932227e-05,12.5992
"ca-CondMat.mtx.hgr","SPM",8,14184,14267.9,0.0025933609958556,19.1647
"ca-CondMat.mtx.hgr","SPM",16,18860,18949.4,0.0089903181189557,28.6503
"ca-CondMat.mtx.hgr","SPM",32,23386,23436.2,0.009820193637612,40.4173
"ca-CondMat.mtx.hgr","SPM",64,27322,27491.6,0.0276243093923,58.8261
"ca-CondMat.mtx.hgr","SPM",128,31443,31535.8,0.0276243093923,78.2272
"cage10.mtx.hgr","SPM",2,2319,2366.6,0.00543955079839,4.7207
"cage10.mtx.hgr","SPM",4,5303,5363.8,0.02838596491226,7.1937
"cage10.mtx.hgr","SPM",8,8239,8316,0.0294736842105,12.3616
"cage10.mtx.hgr","SPM",16,11527,11682.7,0.0280504908836,19.4451
"cage10.mtx.hgr","SPM",32,15908,15999.5,0.03781512605041,32.8419
"cage10.mtx.hgr","SPM",64,21432,21544.5,0.05754189944134,51.7471
"cage10.mtx.hgr","SPM",128,28499,28692.2,0.08888888888888,63.1913
"case39.mtx.hgr","SPM",2,10020,10236,0.02993335985678,29.2348
"case39.mtx.hgr","SPM",4,15377,15462.1,0.02988860155165,30.51355
"case39.mtx.hgr","SPM",8,18064,18122.3,0.02975929978122,31.23745
"case39.mtx.hgr","SPM",16,19781,19926.3,0.03389021479712,35.4339
"case39.mtx.hgr","SPM",32,21455,21551.1,0.05664280031823,42.6469
"case39.mtx.hgr","SPM",64,23901,24061.8,0.0731319554849,65.9458
"case39.mtx.hgr","SPM",128,30037,30498.6,0.11587301587303,104.3549
"ccc.mtx.hgr","SPM",2,0,0,0,3.4829
"ccc.mtx.hgr","SPM",4,4096,4096,0,6.4377
"ccc.mtx.hgr","SPM",8,8192,8232.7,1.62760416667e-05,10.8734
"ccc.mtx.hgr","SPM",16,13242,13718.1,0.0008138020833328,15.684
"ccc.mtx.hgr","SPM",32,15823,15960.4,0.0052734375000001,25.3925
"ccc.mtx.hgr","SPM",64,18240,18733.8,0.02578125,41.8762
"ccc.mtx.hgr","SPM",128,21567,22204,0.0286458333333,62.8009
"cfd1.mtx.hgr","SPM",2,1554,1591.4,0.0138303894927527,25.19125
"cfd1.mtx.hgr","SPM",4,3176,3228.2,0.02660778985509,26.78875
"cfd1.mtx.hgr","SPM",8,6671,6934.3,0.02897418478259,38.2302
"cfd1.mtx.hgr","SPM",16,11162,11321.3,0.0298913043478,47.10745
"cfd1.mtx.hgr","SPM",32,21115,21544.4,0.03663949275361,73.2472
"cfd1.mtx.hgr","SPM",64,35667,36204,0.04429347826086,118.6376
"cfd1.mtx.hgr","SPM",128,52545,53051,0.07934782608686,209.22865
"Chebyshev4.mtx.hgr","SPM",2,1044,1044,0.00381668183553,17.1596
"Chebyshev4.mtx.hgr","SPM",4,2104,2104,0.00763313956902,18.8387
"Chebyshev4.mtx.hgr","SPM",8,6618,6705.6,0.029826209488,31.0029
"Chebyshev4.mtx.hgr","SPM",16,11221,11296.3,0.029826209488,51.5461
"Chebyshev4.mtx.hgr","SPM",32,20200,20384.7,0.0295913574448,107.1882
"Chebyshev4.mtx.hgr","SPM",64,30959,31177.2,0.03305164319252,321.9647
"Chebyshev4.mtx.hgr","SPM",128,50875,50966.7,0.05328330206379,1039.6949
"Chem97Zt.mtx.hgr","SPM",2,0,16.4,0.0198697698407498,1.7474
"Chem97Zt.mtx.hgr","SPM",4,14,17.9,0.02734657039711,2.5787
"Chem97Zt.mtx.hgr","SPM",8,22,32,0.0296544610624,3.415
"Chem97Zt.mtx.hgr","SPM",16,49,58.8,0.0299123259412,4.0198
"Chem97Zt.mtx.hgr","SPM",32,89,104.1,0.0288659793814,5.2524
"Chem97Zt.mtx.hgr","SPM",64,245,254.2,0.0288659793814,8.2952
"Chem97Zt.mtx.hgr","SPM",128,468,482.5,0.02674897119341,14.822
"circuit_3.mtx.hgr","SPM",2,1361,1372,0.0146932717678,1.0271
"circuit_3.mtx.hgr","SPM",4,2692,2704.9,0.0296833773087,1.9497
"circuit_3.mtx.hgr","SPM",8,4310,4326.7,0.04208443271769,3.1381
"circuit_3.mtx.hgr","SPM",16,5254,5261.6,0.0604221635884,4.9639
"circuit_3.mtx.hgr","SPM",32,5865,5892.5,0.07994722955146,7.2133
"circuit_3.mtx.hgr","SPM",64,6458,6478.5,0.09842105263157,10.3078
"circuit_3.mtx.hgr","SPM",128,7092,7108,0.11263157894731,13.5292
"ckt11752_dc_1.mtx.hgr","SPM",2,116,124.5,0.00574624763591,3.5826
"ckt11752_dc_1.mtx.hgr","SPM",4,645,660.8,0.02436021245774,4.39055
"ckt11752_dc_1.mtx.hgr","SPM",8,2600,2621.9,0.02544664413326,6.16365
"ckt11752_dc_1.mtx.hgr","SPM",16,5047,5120.5,0.05297714837463,8.35435
"ckt11752_dc_1.mtx.hgr","SPM",32,9026,9060.9,0.06087516087518,14.55635
"ckt11752_dc_1.mtx.hgr","SPM",64,12809,12841.3,0.08906048906049,27.2648
"ckt11752_dc_1.mtx.hgr","SPM",128,16702,16850.7,0.11079691516703,43.6941
"cnr-2000.mtx.hgr","SPM",2,356,610.1,6.143298582732e-06,106.3367
"cnr-2000.mtx.hgr","SPM",4,607,817.2,0.00363803907113369,150.0491
"cnr-2000.mtx.hgr","SPM",8,1766,1900.5,0.00905762378669573,183.8865
"cnr-2000.mtx.hgr","SPM",16,2955,3133.2,0.0125319441714211,215.8436
"cnr-2000.mtx.hgr","SPM",32,15352,15862.8,0.029880086495,282.8453
"cnr-2000.mtx.hgr","SPM",64,38489,40286.3,0.029880086495,434.5715
"cnr-2000.mtx.hgr","SPM",128,63333,65470.2,0.0294811320755,727.0521
"conf5_4-8x8-05.mtx.hgr","SPM",2,0,0,0,17.0026
"conf5_4-8x8-05.mtx.hgr","SPM",4,12288,12288,0,18.4887
"conf5_4-8x8-05.mtx.hgr","SPM",8,24576,24576,0,21.6706
"conf5_4-8x8-05.mtx.hgr","SPM",16,42576,43150.5,0.02805989583335,36.3149
"conf5_4-8x8-05.mtx.hgr","SPM",32,62940,63121.8,0.0267578125,40.6784
"conf5_4-8x8-05.mtx.hgr","SPM",64,84816,85034.1,0.03125,61.8925
"conf5_4-8x8-05.mtx.hgr","SPM",128,107214,107402.7,0.0390625,91.4561
"copter1.mtx.hgr","SPM",2,945,956.4,0.00720009290443,3.1558
"copter1.mtx.hgr","SPM",4,2089,2117.2,0.012935438922433,4.8846
"copter1.mtx.hgr","SPM",8,3933,4007.2,0.02712494194148,8.3735
"copter1.mtx.hgr","SPM",16,6404,6491.1,0.02804085422469,13.9838
"copter1.mtx.hgr","SPM",32,9248,9274.7,0.0278293135436,28.235
"copter1.mtx.hgr","SPM",64,13555,13602,0.03814814814814,52.4659
"copter1.mtx.hgr","SPM",128,19108,19150.5,0.04370370370371,70.2671
"coupled.mtx.hgr","SPM",2,1796,1796.9,0.02948333627226,1.7888
"coupled.mtx.hgr","SPM",4,3015,3048,0.03011283497884,2.821
"coupled.mtx.hgr","SPM",8,4094,4106,0.03131170662904,5.3269
"coupled.mtx.hgr","SPM",16,5411,5435.5,0.05021156558533,9.7446
