"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"Andrews.mtx.hgr","SPM",32,42396,42570.9,0.02874666666666,148.7928
"Andrews.mtx.hgr","SPM",64,62921,63295.5,0.02697228144989,184.4955
"Andrews.mtx.hgr","SPM",128,88653,88958.9,0.02494669509596,215.6932
"appu.mtx.hgr","SPM",2,13982,13984,0.0033571428571427,11.7887
"appu.mtx.hgr","SPM",4,41878,41886.4,0.0064571428571348,917.1065
"appu.mtx.hgr","SPM",8,96940,96990,0.015314285714293,3356.7613
"appu.mtx.hgr","SPM",16,204215,204314.1,0.01725714285712,3537.0084
"appu.mtx.hgr","SPM",32,399693,400010.4,0.01757990867579,3808.4581
"as-22july06.mtx.hgr","SPM",2,279,294.7,0.0298989723045,3.0908
"as-22july06.mtx.hgr","SPM",4,1383,1480.1,0.02954189165651,7.3476
"as-22july06.mtx.hgr","SPM",8,3250,3283.5,0.02939742250089,11.1034
"as-22july06.mtx.hgr","SPM",16,4660,4727.3,0.02917827298049,14.6535
"as-22july06.mtx.hgr","SPM",32,6741,6822,0.02771587743729,18.1485
"as-22july06.mtx.hgr","SPM",64,9029,9103.3,0.02729805013924,21.8433
"as-22july06.mtx.hgr","SPM",128,11610,11759,0.0222222222222,25.3201
"as-caida.mtx.hgr","SPM",2,254,284.1,0,3.3497
"as-caida.mtx.hgr","SPM",4,1360,1422.2,0.01468451242833,7.7753
"as-caida.mtx.hgr","SPM",8,2943,3424.2,0.01345908743308,11.8051
"as-caida.mtx.hgr","SPM",16,5232,5439.9,0.01518858307848,15.8008
"as-caida.mtx.hgr","SPM",32,7344,7488.8,0.0170234454638,19.4931
"as-caida.mtx.hgr","SPM",64,9697,9808,0.01751527494908,23.3424
"as-caida.mtx.hgr","SPM",128,12317,12474.4,0.01707317073168,27.1286
"astro-ph.mtx.hgr","SPM",2,3914,3954.7,0.00598587333892,7.6572
"astro-ph.mtx.hgr","SPM",4,8313,8422.7,0.013909504429024,14.9265
"astro-ph.mtx.hgr","SPM",8,13234,13426.3,0.012158927716626,22.1102
"astro-ph.mtx.hgr","SPM",16,18683,18914.6,0.011291866028702,28.936
"astro-ph.mtx.hgr","SPM",32,24312,24536.9,0.009942638623327,35.378
"astro-ph.mtx.hgr","SPM",64,30082,30369.9,0.007633587786263,41.6363
"astro-ph.mtx.hgr","SPM",128,35884,36270.2,0.008396946564884,48.1952
"atmosmodj.mtx.hgr","SPM",2,17168,17168,0.0262520150625836,438.251
"atmosmodj.mtx.hgr","SPM",4,32677,33626.7,0.02087258507342,847.051
"atmosmodj.mtx.hgr","SPM",8,59696,63051.9,0.02016447948415,1209.1687
"atmosmodj.mtx.hgr","SPM",16,90074,94614.9,0.01699075590034,1523.6941
"atmosmodj.mtx.hgr","SPM",32,129476,134050.8,0.01670990655148,1773.8039
"atmosmodj.mtx.hgr","SPM",64,168201,176727.5,0.01622084529747,2012.764
"atmosmodj.mtx.hgr","SPM",128,223717,230303.5,0.01784203102961,2233.6815
"av41092.mtx.hgr","SPM",2,632,634.6,0.002496836367176,8.2977
"av41092.mtx.hgr","SPM",4,1618,1646,0.014163340796272,14.0379
"av41092.mtx.hgr","SPM",8,3966,4051,0.01565115826358,19.8356
"av41092.mtx.hgr","SPM",16,7338,7562.8,0.01868431296224,25.3288
"av41092.mtx.hgr","SPM",32,13236,13551.4,0.01789883268484,32.1264
"av41092.mtx.hgr","SPM",64,22340,23110.6,0.0185069984448,39.2871
"av41092.mtx.hgr","SPM",128,35026,35609,0.01645962732921,48.9078
"barrier2-1.mtx.hgr","SPM",2,7056,7156,0.0226095723230369,52.0106
"barrier2-1.mtx.hgr","SPM",4,13733,13934,0.02214793590154,89.0312
"barrier2-1.mtx.hgr","SPM",8,22280,22620.8,0.01831623629288,121.4058
"barrier2-1.mtx.hgr","SPM",16,33608,34089.7,0.0221986417657,148.2452
"barrier2-1.mtx.hgr","SPM",32,48025,48370.2,0.02184493491794,176.9013
"barrier2-1.mtx.hgr","SPM",64,67038,67529.7,0.02173174872665,206.1151
"barrier2-1.mtx.hgr","SPM",128,92599,93135.5,0.02285067873304,240.0278
"Baumann.mtx.hgr","SPM",2,2222,2222,0.018056892310996,17.2393
"Baumann.mtx.hgr","SPM",4,4134,4295.7,0.019837450540058,33.7189
"Baumann.mtx.hgr","SPM",8,7618,8006.8,0.017694446424738,49.5374
"Baumann.mtx.hgr","SPM",16,11934,12296.9,0.01864841745081,67.4642
"Baumann.mtx.hgr","SPM",32,17661,18584.5,0.01927573424578,87.3329
"Baumann.mtx.hgr","SPM",64,25948,26557.9,0.01870011402508,111.893
"Baumann.mtx.hgr","SPM",128,37885,38493.2,0.01949828962371,139.2341
"bayer04.mtx.hgr","SPM",2,54,55.5,0.01987734838899,1.4201
"bayer04.mtx.hgr","SPM",4,153,158,0.008117578353123,2.7825
"bayer04.mtx.hgr","SPM",8,336,342.8,0.009770338653178,4.4251
"bayer04.mtx.hgr","SPM",16,598,622.3,0.010350194552522,6.5203
"bayer04.mtx.hgr","SPM",32,1081,1111.3,0.009953343701392,9.3502
"bayer04.mtx.hgr","SPM",64,2387,2420,0.011490683229813,13.0624
"bayer04.mtx.hgr","SPM",128,4871,4912.7,0.008695652173892,17.5702
"bbmat.mtx.hgr","SPM",2,1140,1140,0.0179176130497523,13.7625
"bbmat.mtx.hgr","SPM",4,2996,2996,0.015878587652276,27.1953
"bbmat.mtx.hgr","SPM",8,6606,6678.7,0.01777823663018,42.0846
"bbmat.mtx.hgr","SPM",16,11219,11784,0.01870355078447,60.4817
"bbmat.mtx.hgr","SPM",32,18474,18954.4,0.01932287365814,79.7179
"bbmat.mtx.hgr","SPM",64,31732,32221.3,0.01996699669965,101.9715
"bbmat.mtx.hgr","SPM",128,53414,53916.6,0.0191419141914,125.3177
"bcsstk29.mtx.hgr","SPM",2,360,360,0.0086620926243635,3.1438
"bcsstk29.mtx.hgr","SPM",4,1080,1080.6,0.001886792452831,6.5127
"bcsstk29.mtx.hgr","SPM",8,2388,2407.8,0.003544882790167,10.6806
"bcsstk29.mtx.hgr","SPM",16,4194,4245.1,0.008,15.0982
"bcsstk29.mtx.hgr","SPM",32,6563,6653.4,0.008219178082203,19.8461
"bcsstk29.mtx.hgr","SPM",64,10039,10127.1,0.006849315068492,25.5991
"bcsstk29.mtx.hgr","SPM",128,16050,16180.5,0.004545454545455,31.9581
"BenElechi1.mtx.hgr","SPM",2,147839,157191.1,0.015902454102506,413.9252
"BenElechi1.mtx.hgr","SPM",4,152532,161238.8,0.016870292342478,456.235
"BenElechi1.mtx.hgr","SPM",8,148680,164616.9,0.01663250366034,494.7538
"BenElechi1.mtx.hgr","SPM",16,140278,171064.2,0.01846694429984,531.116
"BenElechi1.mtx.hgr","SPM",32,158328,174756.2,0.01821967725141,572.6616
"BenElechi1.mtx.hgr","SPM",64,161926,196296.7,0.01954711087976,608.2146
"BenElechi1.mtx.hgr","SPM",128,189978,210551.4,0.01827173347213,640.8523
"bibd_49_3.mtx.hgr","SPM",2,1017,1032.1,0.02988493269647,42.428
"bibd_49_3.mtx.hgr","SPM",4,2542,2605.1,0.02948328267476,49.7896
"bibd_49_3.mtx.hgr","SPM",8,4475,4594.5,0.02800694745986,59.929
"bibd_49_3.mtx.hgr","SPM",16,7034,7124.8,0.02664930555555,64.0205
"bibd_49_3.mtx.hgr","SPM",32,9845,10032.7,0.02569444444447,64.1923
"bibd_49_3.mtx.hgr","SPM",64,12890,13104.5,0.0204861111111,73.2816
"bibd_49_3.mtx.hgr","SPM",128,16110,16274,0.02013888888886,73.8222
"bips07_1998.mtx.hgr","SPM",2,58,58,5.30996946768e-05,0.5095
"bips07_1998.mtx.hgr","SPM",4,120,120,0.000132731616671,1.0731
"bips07_1998.mtx.hgr","SPM",8,245,248.2,0.0005838641188962,1.7912
"bips07_1998.mtx.hgr","SPM",16,419,423,0.003609341825904,2.7003
"bips07_1998.mtx.hgr","SPM",32,681,694.6,0.005944798301484,3.8876
"bips07_1998.mtx.hgr","SPM",64,1040,1054.7,0.00635593220339,5.8273
"bips07_1998.mtx.hgr","SPM",128,1635,1657.1,0.00847457627119,8.4918
"bloweya.mtx.hgr","SPM",2,4855,4855.2,0.0299226769764,1.223
"bloweya.mtx.hgr","SPM",4,7439,7440.1,0.02979602719635,2.2895
"bloweya.mtx.hgr","SPM",8,8746,8746.6,0.02956544921355,3.3504
"bloweya.mtx.hgr","SPM",16,9430,9430.7,0.0287846481876,4.6435
"bloweya.mtx.hgr","SPM",32,9832,9833.5,0.0278251599147,6.1495
"bloweya.mtx.hgr","SPM",64,10154,10154.1,0.02366737739871,8.2301
"bloweya.mtx.hgr","SPM",128,10554,10555.2,0.02127659574469,11.2785
"bundle1.mtx.hgr","SPM",2,1292,1304.6,0.0296163296163,3.6872
"bundle1.mtx.hgr","SPM",4,3524,3543.6,0.02913832199545,6.7465
"bundle1.mtx.hgr","SPM",8,7514,7544.4,0.027059712774,9.4254
"bundle1.mtx.hgr","SPM",16,13364,13447.2,0.02583081570997,12.1538
"bundle1.mtx.hgr","SPM",32,17542,17678.8,0.02507552870091,13.7151
"bundle1.mtx.hgr","SPM",64,22041,22520.7,0.01927710843373,15.0896
"bundle1.mtx.hgr","SPM",128,27549,28164.5,0.01325301204821,16.4936
"c-55.mtx.hgr","SPM",2,3541,3574.2,0.02985356924952,11.1832
"c-55.mtx.hgr","SPM",4,6912,7290.1,0.02266015863329,19.3664
"c-55.mtx.hgr","SPM",8,12187,12425.5,0.02191312835531,27.5629
"c-55.mtx.hgr","SPM",16,17570,17797.4,0.02181551976574,34.8732
"c-55.mtx.hgr","SPM",32,23199,23435.4,0.01960975609757,43.1824
"c-55.mtx.hgr","SPM",64,29483,29747.6,0.01871345029238,50.3774
"c-55.mtx.hgr","SPM",128,36955,37144.9,0.01673151750972,59.2251
"c-61.mtx.hgr","SPM",2,2142,2165.2,0.02964372506762,6.6645
"c-61.mtx.hgr","SPM",4,3698,3746.5,0.02845483723063,12.2516
"c-61.mtx.hgr","SPM",8,5367,5489.3,0.0279845956354,17.0304
"c-61.mtx.hgr","SPM",16,7053,7135.5,0.0254858819215,22.7112
"c-61.mtx.hgr","SPM",32,9330,9389.3,0.02419354838709,28.4341
"c-61.mtx.hgr","SPM",64,12093,12176.9,0.02170087976539,35.4812
"c-61.mtx.hgr","SPM",128,15837,16018,0.02082111436949,44.6058
"c-64.mtx.hgr","SPM",2,1396,1396,0.02986127439453,7.3494
"c-64.mtx.hgr","SPM",4,8996,9057.1,0.02954777020142,18.7884
"c-64.mtx.hgr","SPM",8,16243,16982.4,0.02949843260187,27.1313
"c-64.mtx.hgr","SPM",16,24474,24847.9,0.02655172413793,34.6099
