"graph","type","k","min_km1","avg_km1","avg_imbalance","avg_time"
"Andrews.mtx.hgr","SPM",64,59285,59915.1,0.0298507,104.19038
"Andrews.mtx.hgr","SPM",128,83647,83845.4,0.0298507,125.36746
"appu.mtx.hgr","SPM",2,13991,13992.7,0,104.30619
"appu.mtx.hgr","SPM",4,41952,41953.1,0,110.12903
"appu.mtx.hgr","SPM",8,97169,97227.3,0.0034285703,249.07096
"appu.mtx.hgr","SPM",16,203260,203491.1,0.0297143,653.42851
"appu.mtx.hgr","SPM",32,385200,389553.1,0.0296804,332.11762
"as-22july06.mtx.hgr","SPM",2,348,378.8,0,7.0298836
"as-22july06.mtx.hgr","SPM",4,1248,1365.7,0.0112001456,10.045152
"as-22july06.mtx.hgr","SPM",8,2454,2583.3,0.02863115,14.651606
"as-22july06.mtx.hgr","SPM",16,4140,4195.8,0.0299443,20.956171
"as-22july06.mtx.hgr","SPM",32,5674,5732.1,0.0292479,29.518737
"as-22july06.mtx.hgr","SPM",64,7749,8070.3,0.0278552,34.953923
"as-22july06.mtx.hgr","SPM",128,10483,10857.4,0.0277778,32.82208
"as-caida.mtx.hgr","SPM",2,231,269.5,0,8.6366533
"as-caida.mtx.hgr","SPM",4,1021,1087.3,0.017552581,15.943788
"as-caida.mtx.hgr","SPM",8,2289,2415.4,0.02791231,18.604301
"as-caida.mtx.hgr","SPM",16,3915,4050.1,0.0295617,27.292142
"as-caida.mtx.hgr","SPM",32,5753,5805.9,0.0295617,39.129493
"as-caida.mtx.hgr","SPM",64,7563,7655.5,0.0285132,64.093201
"as-caida.mtx.hgr","SPM",128,9984,10064.8,0.0284553,75.898145
"astro-ph.mtx.hgr","SPM",2,3439,3604.8,0.0226625087,4.405109
"astro-ph.mtx.hgr","SPM",4,7111,7368.8,0.02906393,8.226925
"astro-ph.mtx.hgr","SPM",8,11547,11864,0.02929634,12.634923
"astro-ph.mtx.hgr","SPM",16,16121,16427.1,0.0295694,16.413654
"astro-ph.mtx.hgr","SPM",32,20989,21330.9,0.0286807,23.628641
"astro-ph.mtx.hgr","SPM",64,26065,26326.4,0.0267176,26.994525
"astro-ph.mtx.hgr","SPM",128,33522,33976.5,0.0229008,26.47119769
"atmosmodj.mtx.hgr","SPM",2,17168,17168,0,281.1896729
"atmosmodj.mtx.hgr","SPM",4,30840,31582.5,0.014763162,279.10394
"atmosmodj.mtx.hgr","SPM",8,54754,56952.4,0.02763911,295.38123
"atmosmodj.mtx.hgr","SPM",16,83276,85731.4,0.02966802,314.468986
"atmosmodj.mtx.hgr","SPM",32,113431,114815.3,0.02991611,334.19977
"atmosmodj.mtx.hgr","SPM",64,157632,159143.1,0.0299733,371.2015
"atmosmodj.mtx.hgr","SPM",128,210884,212277,0.0299214,431.76313
"av41092.mtx.hgr","SPM",2,632,663.2,0.00175216913,13.6775477
"av41092.mtx.hgr","SPM",4,1586,1711.4,0.018222524,19.3944987
"av41092.mtx.hgr","SPM",8,4008,4179,0.0237882,34.337521
"av41092.mtx.hgr","SPM",16,7416,7594.2,0.02787077,48.6958
"av41092.mtx.hgr","SPM",32,12364,12608.8,0.029572,53.088575
"av41092.mtx.hgr","SPM",64,18602,18861,0.029549,53.15442
"av41092.mtx.hgr","SPM",128,26662,27028,0.0279503,51.83026
"barrier2-1.mtx.hgr","SPM",2,6987,7160.7,0.01905618872,2.7768075
"barrier2-1.mtx.hgr","SPM",4,13117,13543.7,0.0267926,4.384045
"barrier2-1.mtx.hgr","SPM",8,20332,21701.2,0.02844711,7.363913
"barrier2-1.mtx.hgr","SPM",16,31593,32128.1,0.02924447,12.1215
"barrier2-1.mtx.hgr","SPM",32,44720,45660.7,0.02996601,19.174158
"barrier2-1.mtx.hgr","SPM",64,62889,63464,0.02982453,28.448261
"barrier2-1.mtx.hgr","SPM",128,87099,87686.6,0.0294118,41.980199
"Baumann.mtx.hgr","SPM",2,2222,2222,0,11.6396455
"Baumann.mtx.hgr","SPM",4,4021,4066.6,0.02146649,12.7317112
"Baumann.mtx.hgr","SPM",8,7106,7301.3,0.02768945,15.02024
"Baumann.mtx.hgr","SPM",16,11259,11453.1,0.02884231,19.053206
"Baumann.mtx.hgr","SPM",32,17331,17570,0.0299401,26.059432
"Baumann.mtx.hgr","SPM",64,25607,25870.9,0.0296465,36.89526
"Baumann.mtx.hgr","SPM",128,37789,38017.4,0.0296465,57.187139
"bayer04.mtx.hgr","SPM",2,55,64.9,0.01743407,0.85263542
"bayer04.mtx.hgr","SPM",4,151,177,0.0219778,1.10385449
"bayer04.mtx.hgr","SPM",8,302,336.2,0.02646943,1.6293449
"bayer04.mtx.hgr","SPM",16,586,639.9,0.02801558,2.48850831
"bayer04.mtx.hgr","SPM",32,1124,1170.1,0.029549,3.8102193
"bayer04.mtx.hgr","SPM",64,2401,2517,0.0279503,5.9072622
"bayer04.mtx.hgr","SPM",128,4779,4867.9,0.0248447,11.297924
"bbmat.mtx.hgr","SPM",2,1140,1141.2,0,2.2963215
